0	SRR2131834	SRR2131843	SRR2131833	SRR2131839	SRR2131840	SRR2131837	SRR2131838	SRR2131832	SRR2131842	SRR2131835	SRR2131836	SRR2131841
PF_BASES	5279981000.0	4694374600.0	4119919000.0	5261265800.0	5076936000.0	5107715000.0	4359108000.0	3889281000.0	4457819000.0	4866734400.0	4636817400.0	5048500200.0
PF_ALIGNED_BASES	4301523200.0	3759749400.0	3367622400.0	4222497000.0	4112415600.0	4194621800.0	3544435200.0	3165125600.0	3554930000.0	3990825800.0	3834079600.0	4102195800.0
CODING_BASES	3015847596.0	2534555518.0	2377481220.0	2846698950.0	2815855622.0	2969338342.0	2431301428.0	2221056975.0	2416907801.0	2828852700.0	2712511968.0	2803376500.0
UTR_BASES	1285215404.0	1224674282.0	989738980.0	1375215450.0	1296053178.0	1224808058.0	1112663372.0	943722625.0	1137523799.0	1161540500.0	1121122432.0	1298308300.0
INTRONIC_BASES	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
INTERGENIC_BASES	460200.0	519600.0	402200.0	582600.0	506800.0	475400.0	470400.0	346000.0	498400.0	432600.0	445200.0	511000.0
IGNORED_READS	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CORRECT_STRAND_READS	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
INCORRECT_STRAND_READS	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PCT_CODING_BASES	0.701112	0.674129	0.705982	0.674174	0.684721	0.707892	0.685949	0.701728	0.679875	0.708839	0.707474	0.683384
PCT_UTR_BASES	0.298781	0.325733	0.293898	0.325688	0.315156	0.291995	0.313918	0.298163	0.319985	0.291053	0.29241	0.316491
PCT_INTRONIC_BASES	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PCT_INTERGENIC_BASES	0.000107	0.000138	0.000119	0.000138	0.000123	0.000113	0.000133	0.000109	0.00014	0.000108	0.000116	0.000125
PCT_MRNA_BASES	0.999893	0.999862	0.999881	0.999862	0.999877	0.999887	0.999867	0.999891	0.99986	0.999892	0.999884	0.999875
PCT_USABLE_BASES	0.814598	0.800795	0.817303	0.802452	0.809919	0.821139	0.813002	0.813718	0.797348	0.819932	0.826781	0.812456
PCT_CORRECT_STRAND_READS	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MEDIAN_CV_COVERAGE	0.395884	0.390064	0.384833	0.388058	0.383357	0.384288	0.390243	0.403903	0.386219	0.382759	0.385183	0.38391
MEDIAN_5PRIME_BIAS	0.527402	0.558177	0.574018	0.611283	0.573991	0.554206	0.559604	0.514402	0.56123	0.5713	0.565179	0.57855
MEDIAN_3PRIME_BIAS	0.651749	0.692801	0.646956	0.69707	0.710423	0.675511	0.715452	0.665909	0.702565	0.676434	0.685045	0.680514
MEDIAN_5PRIME_TO_3PRIME_BIAS	0.797049	0.829885	0.844806	0.893848	0.855428	0.836466	0.825619	0.772082	0.844994	0.851031	0.844457	0.863265
MEDIAN_INSERT_SIZE	147.0	149.0	155.0	151.0	153.0	156.0	155.0	154.0	148.0	152.0	153.0	154.0
MEDIAN_ABSOLUTE_DEVIATION	26.0	27.0	31.0	30.0	30.0	31.0	31.0	30.0	27.0	29.0	29.0	29.0
MIN_INSERT_SIZE	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
MAX_INSERT_SIZE	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0
MEAN_INSERT_SIZE	159.28878	163.203625	170.464355	167.308488	168.927032	170.789182	172.333736	169.991113	161.901668	166.812835	167.369368	168.662532
STANDARD_DEVIATION	48.782913	52.081872	58.720017	57.270965	57.43049	57.601357	60.663491	57.749007	51.770771	55.373383	54.601323	56.164438
READ_PAIRS	21467910.0	18770952.0	16813213.0	21078764.0	20535068.0	20945632.0	17698771.0	15803078.0	17744883.0	19923344.0	19144864.0	20485222.0
WIDTH_OF_10_PERCENT	11.0	11.0	13.0	13.0	13.0	13.0	13.0	13.0	11.0	13.0	13.0	13.0
WIDTH_OF_20_PERCENT	21.0	23.0	25.0	25.0	25.0	25.0	25.0	25.0	23.0	23.0	23.0	25.0
WIDTH_OF_30_PERCENT	31.0	33.0	37.0	37.0	37.0	37.0	39.0	37.0	33.0	35.0	35.0	35.0
WIDTH_OF_40_PERCENT	43.0	45.0	49.0	49.0	49.0	49.0	51.0	49.0	45.0	47.0	47.0	47.0
WIDTH_OF_50_PERCENT	53.0	55.0	63.0	61.0	61.0	63.0	63.0	61.0	55.0	59.0	59.0	59.0
WIDTH_OF_60_PERCENT	65.0	67.0	77.0	73.0	73.0	75.0	77.0	75.0	67.0	71.0	71.0	73.0
WIDTH_OF_70_PERCENT	77.0	81.0	91.0	87.0	89.0	91.0	93.0	89.0	81.0	87.0	85.0	87.0
WIDTH_OF_80_PERCENT	93.0	99.0	111.0	111.0	109.0	111.0	117.0	111.0	97.0	105.0	105.0	107.0
WIDTH_OF_90_PERCENT	159.0	175.0	193.0	193.0	193.0	189.0	207.0	193.0	173.0	183.0	179.0	187.0
WIDTH_OF_99_PERCENT	409.0	441.0	495.0	483.0	489.0	475.0	511.0	489.0	445.0	467.0	451.0	477.0
